filename,width,height,class,xmin,ymin,xmax,ymax
imagen_nueva1.png,200,60,c,9,16,36,48
imagen_nueva1.png,200,60,e,37,16,69,49
imagen_nueva1.png,200,60,f,70,6,93,49
imagen_nueva1.png,200,60,7,93,7,123,47
imagen_nueva1.png,200,60,r,126,15,151,47
imagen_nueva10.png,200,60,p,5,21,38,57
imagen_nueva10.png,200,60,r,40,21,67,48
imagen_nueva10.png,200,60,g,67,22,97,57
imagen_nueva10.png,200,60,6,99,13,125,48
imagen_nueva10.png,200,60,8,126,11,152,46
imagen_nueva100.png,200,60,n,10,16,43,49
imagen_nueva100.png,200,60,k,46,5,77,49
imagen_nueva100.png,200,60,6,77,7,109,48
imagen_nueva100.png,200,60,n,111,14,141,49
imagen_nueva100.png,200,60,8,144,6,177,47
imagen_nueva101.png,200,60,4,10,14,35,48
imagen_nueva101.png,200,60,w,38,22,67,48
imagen_nueva101.png,200,60,p,65,21,96,56
imagen_nueva101.png,200,60,w,96,23,127,48
imagen_nueva101.png,200,60,r,127,22,154,47
imagen_nueva102.png,200,60,g,9,15,42,58
imagen_nueva102.png,200,60,6,44,7,76,48
imagen_nueva102.png,200,60,y,76,15,108,58
imagen_nueva102.png,200,60,k,109,7,141,48
imagen_nueva102.png,200,60,g,140,15,172,57
imagen_nueva103.png,200,60,k,9,13,38,48
imagen_nueva103.png,200,60,r,39,21,68,48
imagen_nueva103.png,200,60,3,68,13,95,48
imagen_nueva103.png,200,60,8,97,12,123,48
imagen_nueva103.png,200,60,y,124,22,153,55
imagen_nueva104.png,200,60,e,8,22,38,49
imagen_nueva104.png,200,60,m,36,21,70,48
imagen_nueva104.png,200,60,f,70,14,97,48
imagen_nueva104.png,200,60,y,95,21,126,57
imagen_nueva104.png,200,60,3,127,11,152,47
imagen_nueva106.png,200,60,g,8,15,40,58
imagen_nueva106.png,200,60,f,40,7,64,47
imagen_nueva106.png,200,60,4,56,7,86,47
imagen_nueva106.png,200,60,e,87,15,117,46
imagen_nueva106.png,200,60,p,116,17,149,57
imagen_nueva107.png,200,60,a,9,17,41,48
imagen_nueva107.png,200,60,n,44,15,76,48
imagen_nueva107.png,200,60,f,75,6,100,48
imagen_nueva107.png,200,60,k,101,5,131,47
imagen_nueva107.png,200,60,m,131,15,180,48
imagen_nueva108.png,200,60,e,9,17,38,49
imagen_nueva108.png,200,60,m,38,14,85,47
imagen_nueva108.png,200,60,m,87,16,131,47
